datetime,sw_radiation,temp_2m,cloud_cover
2020-05-27 02:00:00,0.0,32.0,64
2020-05-27 03:00:00,0.0,31.6,37
2020-05-27 04:00:00,0.0,31.5,19
2020-05-27 05:00:00,0.0,31.0,5
2020-05-27 06:00:00,22.0,30.9,4
2020-05-27 07:00:00,170.0,31.5,1
2020-05-27 08:00:00,384.0,32.8,0
2020-05-27 09:00:00,594.0,34.5,0
2020-05-27 10:00:00,767.0,36.3,3
2020-05-27 11:00:00,877.0,37.9,3
2020-05-27 12:00:00,906.0,39.3,15
2020-05-27 13:00:00,805.0,40.3,38
2020-05-27 14:00:00,649.0,40.2,38
2020-05-27 15:00:00,541.0,39.9,34
2020-05-27 16:00:00,388.0,40.1,38
2020-05-27 17:00:00,206.0,39.8,33
2020-05-27 18:00:00,64.0,39.5,40
2020-05-27 19:00:00,1.0,38.5,34
2020-05-27 20:00:00,0.0,37.4,30
2020-05-27 21:00:00,0.0,33.9,36
2020-05-27 22:00:00,0.0,32.0,16
2020-05-27 23:00:00,0.0,32.1,8
2020-05-28 00:00:00,0.0,31.9,74
2020-05-28 01:00:00,0.0,31.6,80
2020-05-28 02:00:00,0.0,30.9,85
2020-05-28 03:00:00,0.0,30.9,85
2020-05-28 04:00:00,0.0,30.6,82
2020-05-28 05:00:00,0.0,30.1,78
2020-05-28 06:00:00,21.0,30.1,87
2020-05-28 07:00:00,169.0,30.9,88
2020-05-28 08:00:00,340.0,32.3,88
2020-05-28 09:00:00,520.0,34.2,90
2020-05-28 10:00:00,721.0,36.5,86
2020-05-28 11:00:00,885.0,38.6,80
2020-05-28 12:00:00,942.0,40.1,18
2020-05-28 13:00:00,858.0,41.0,23
2020-05-28 14:00:00,738.0,41.4,30
2020-05-28 15:00:00,541.0,41.7,29
2020-05-28 16:00:00,382.0,41.1,82
2020-05-28 17:00:00,189.0,41.0,78
2020-05-28 18:00:00,64.0,40.2,90
2020-05-28 19:00:00,1.0,39.6,82
2020-05-28 20:00:00,0.0,38.9,86
2020-05-28 21:00:00,0.0,38.3,78
2020-05-28 22:00:00,0.0,37.0,81
2020-05-28 23:00:00,0.0,35.9,77
2020-05-29 00:00:00,0.0,34.7,57
2020-05-29 01:00:00,0.0,33.3,54
2020-05-29 02:00:00,0.0,31.9,31
2020-05-29 03:00:00,0.0,30.9,1
2020-05-29 04:00:00,0.0,30.1,1
2020-05-29 05:00:00,0.0,29.4,1
2020-05-29 06:00:00,22.0,29.2,58
2020-05-29 07:00:00,173.0,30.2,54
2020-05-29 08:00:00,389.0,31.8,41
2020-05-29 09:00:00,599.0,33.9,17
2020-05-29 10:00:00,772.0,35.9,12
2020-05-29 11:00:00,891.0,37.8,80
2020-05-29 12:00:00,903.0,39.2,52
2020-05-29 13:00:00,718.0,39.6,37
2020-05-29 14:00:00,780.0,40.4,23
2020-05-29 15:00:00,631.0,40.7,19
2020-05-29 16:00:00,439.0,40.9,18
2020-05-29 17:00:00,239.0,40.6,41
2020-05-29 18:00:00,62.0,40.0,53
2020-05-29 19:00:00,1.0,39.8,66
2020-05-29 20:00:00,0.0,39.0,90
2020-05-29 21:00:00,0.0,37.4,61
2020-05-29 22:00:00,0.0,36.7,43
2020-05-29 23:00:00,0.0,33.2,35
2020-05-30 00:00:00,0.0,31.7,23
2020-05-30 01:00:00,0.0,31.1,15
2020-05-30 02:00:00,0.0,30.7,32
2020-05-30 03:00:00,0.0,30.4,53
2020-05-30 04:00:00,0.0,30.0,54
2020-05-30 05:00:00,0.0,29.0,33
2020-05-30 06:00:00,20.0,29.1,18
2020-05-30 07:00:00,159.0,30.2,21
2020-05-30 08:00:00,372.0,32.0,34
2020-05-30 09:00:00,579.0,34.2,36
2020-05-30 10:00:00,748.0,36.2,17
2020-05-30 11:00:00,883.0,37.7,6
2020-05-30 12:00:00,929.0,38.8,24
2020-05-30 13:00:00,827.0,39.3,30
2020-05-30 14:00:00,690.0,39.8,30
2020-05-30 15:00:00,557.0,39.9,26
2020-05-30 16:00:00,395.0,39.6,38
2020-05-30 17:00:00,223.0,35.1,27
2020-05-30 18:00:00,59.0,34.4,73
2020-05-30 19:00:00,1.0,34.1,38
2020-05-30 20:00:00,0.0,33.7,35
2020-05-30 21:00:00,0.0,33.1,17
2020-05-30 22:00:00,0.0,32.4,15
2020-05-30 23:00:00,0.0,32.0,12
2020-05-31 00:00:00,0.0,31.5,11
2020-05-31 01:00:00,0.0,31.0,11
2020-05-31 02:00:00,0.0,30.6,28
2020-05-31 03:00:00,0.0,30.3,34
2020-05-31 04:00:00,0.0,30.1,29
2020-05-31 05:00:00,0.0,30.1,6
2020-05-31 06:00:00,6.0,30.0,81
2020-05-31 07:00:00,104.0,30.7,77
2020-05-31 08:00:00,214.0,30.5,72
2020-05-31 09:00:00,302.0,31.0,96
2020-05-31 10:00:00,263.0,31.4,100
2020-05-31 11:00:00,373.0,32.4,98
2020-05-31 12:00:00,416.0,33.2,99
2020-05-31 13:00:00,628.0,34.3,79
2020-05-31 14:00:00,752.0,36.0,74
2020-05-31 15:00:00,645.0,36.4,79
2020-05-31 16:00:00,407.0,35.1,90
2020-05-31 17:00:00,182.0,36.0,97
2020-05-31 18:00:00,63.0,35.3,94
2020-05-31 19:00:00,1.0,34.3,94
2020-05-31 20:00:00,0.0,33.9,88
2020-05-31 21:00:00,0.0,33.4,39
2020-05-31 22:00:00,0.0,33.0,57
2020-05-31 23:00:00,0.0,32.2,83
2020-06-01 00:00:00,0.0,30.7,94
2020-06-01 01:00:00,0.0,28.5,98
2020-06-01 02:00:00,0.0,28.2,100
2020-06-01 03:00:00,0.0,28.1,99
2020-06-01 04:00:00,0.0,27.8,99
2020-06-01 05:00:00,0.0,26.3,99
2020-06-01 06:00:00,12.0,26.7,99
2020-06-01 07:00:00,134.0,27.7,98
2020-06-01 08:00:00,325.0,29.0,96
2020-06-01 09:00:00,523.0,30.5,93
2020-06-01 10:00:00,733.0,32.6,98
2020-06-01 11:00:00,845.0,33.9,80
2020-06-01 12:00:00,827.0,34.8,86
2020-06-01 13:00:00,842.0,35.7,42
2020-06-01 14:00:00,761.0,36.2,19
2020-06-01 15:00:00,591.0,36.5,66
2020-06-01 16:00:00,408.0,36.0,83
2020-06-01 17:00:00,211.0,33.8,82
2020-06-01 18:00:00,65.0,32.4,98
2020-06-01 19:00:00,1.0,30.3,98
2020-06-01 20:00:00,0.0,28.8,100
2020-06-01 21:00:00,0.0,27.6,100
2020-06-01 22:00:00,0.0,27.4,100
2020-06-01 23:00:00,0.0,27.0,100
2020-06-02 00:00:00,0.0,25.6,100
2020-06-02 01:00:00,0.0,25.4,100
2020-06-02 02:00:00,0.0,25.2,100
2020-06-02 03:00:00,0.0,25.2,100
2020-06-02 04:00:00,0.0,25.2,100
2020-06-02 05:00:00,0.0,25.3,100
2020-06-02 06:00:00,16.0,25.8,100
2020-06-02 07:00:00,129.0,26.9,98
2020-06-02 08:00:00,340.0,28.5,96
2020-06-02 09:00:00,531.0,29.7,98
2020-06-02 10:00:00,639.0,30.9,97
2020-06-02 11:00:00,845.0,32.4,96
2020-06-02 12:00:00,906.0,33.3,66
2020-06-02 13:00:00,858.0,34.1,47
2020-06-02 14:00:00,775.0,34.6,65
2020-06-02 15:00:00,468.0,29.4,89
2020-06-02 16:00:00,347.0,30.4,91
2020-06-02 17:00:00,157.0,30.5,95
2020-06-02 18:00:00,74.0,30.1,68
2020-06-02 19:00:00,1.0,29.4,66
2020-06-02 20:00:00,0.0,28.7,79
2020-06-02 21:00:00,0.0,28.3,88
2020-06-02 22:00:00,0.0,28.1,86
2020-06-02 23:00:00,0.0,27.8,91
2020-06-03 00:00:00,0.0,27.5,91
2020-06-03 01:00:00,0.0,27.5,88
2020-06-03 02:00:00,0.0,26.9,92
2020-06-03 03:00:00,0.0,26.3,92
2020-06-03 04:00:00,0.0,26.1,88
2020-06-03 05:00:00,0.0,26.4,93
2020-06-03 06:00:00,19.0,27.2,99
2020-06-03 07:00:00,112.0,28.0,99
2020-06-03 08:00:00,292.0,29.0,98
2020-06-03 09:00:00,502.0,30.0,96
2020-06-03 10:00:00,737.0,31.5,86
2020-06-03 11:00:00,861.0,32.8,88
2020-06-03 12:00:00,827.0,34.0,78
2020-06-03 13:00:00,696.0,34.6,99
2020-06-03 14:00:00,473.0,33.2,64
2020-06-03 15:00:00,542.0,34.1,64
2020-06-03 16:00:00,354.0,33.2,97
2020-06-03 17:00:00,208.0,33.0,100
2020-06-03 18:00:00,60.0,30.8,87
2020-06-03 19:00:00,1.0,30.0,86
2020-06-03 20:00:00,0.0,29.6,90
2020-06-03 21:00:00,0.0,29.3,89
2020-06-03 22:00:00,0.0,28.6,89
2020-06-03 23:00:00,0.0,28.2,88
2020-06-04 00:00:00,0.0,27.6,87
2020-06-04 01:00:00,0.0,27.1,90
2020-06-04 02:00:00,0.0,26.5,94
2020-06-04 03:00:00,0.0,26.0,94
2020-06-04 04:00:00,0.0,25.8,90
2020-06-04 05:00:00,0.0,26.0,88
2020-06-04 06:00:00,19.0,26.3,99
2020-06-04 07:00:00,54.0,26.4,91
2020-06-04 08:00:00,282.0,28.3,95
2020-06-04 09:00:00,455.0,28.7,93
2020-06-04 10:00:00,402.0,29.2,94
2020-06-04 11:00:00,775.0,32.3,98
2020-06-04 12:00:00,770.0,33.0,97
2020-06-04 13:00:00,780.0,34.0,100
2020-06-04 14:00:00,723.0,34.3,100
2020-06-04 15:00:00,579.0,34.4,100
2020-06-04 16:00:00,420.0,33.8,98
2020-06-04 17:00:00,202.0,33.8,98
2020-06-04 18:00:00,73.0,33.1,100
2020-06-04 19:00:00,1.0,31.9,100
2020-06-04 20:00:00,0.0,30.9,97
2020-06-04 21:00:00,0.0,30.0,91
2020-06-04 22:00:00,0.0,29.4,93
2020-06-04 23:00:00,0.0,29.1,95
2020-06-05 00:00:00,0.0,28.6,96
2020-06-05 01:00:00,0.0,28.0,90
2020-06-05 02:00:00,0.0,27.5,23
2020-06-05 03:00:00,0.0,27.0,73
2020-06-05 04:00:00,0.0,26.5,11
2020-06-05 05:00:00,0.0,26.6,2
2020-06-05 06:00:00,21.0,27.1,63
2020-06-05 07:00:00,152.0,27.9,68
2020-06-05 08:00:00,363.0,29.3,74
2020-06-05 09:00:00,587.0,31.1,72
2020-06-05 10:00:00,757.0,32.8,73
2020-06-05 11:00:00,846.0,33.9,79
2020-06-05 12:00:00,807.0,34.5,34
2020-06-05 13:00:00,793.0,35.3,98
2020-06-05 14:00:00,659.0,36.0,95
2020-06-05 15:00:00,506.0,35.9,100
2020-06-05 16:00:00,380.0,35.4,99
2020-06-05 17:00:00,237.0,35.0,99
2020-06-05 18:00:00,70.0,34.7,99
2020-06-05 19:00:00,1.0,33.0,98
2020-06-05 20:00:00,0.0,32.8,97
2020-06-05 21:00:00,0.0,32.2,96
2020-06-05 22:00:00,0.0,31.7,96
2020-06-05 23:00:00,0.0,31.0,97
2020-06-06 00:00:00,0.0,30.3,97
2020-06-06 01:00:00,0.0,29.5,97
2020-06-06 02:00:00,0.0,28.7,96
2020-06-06 03:00:00,0.0,28.0,95
2020-06-06 04:00:00,0.0,27.4,93
2020-06-06 05:00:00,0.0,27.2,85
2020-06-06 06:00:00,22.0,27.4,92
2020-06-06 07:00:00,168.0,28.3,92
2020-06-06 08:00:00,379.0,29.8,87
2020-06-06 09:00:00,579.0,31.7,79
2020-06-06 10:00:00,732.0,33.4,55
2020-06-06 11:00:00,814.0,34.8,35
2020-06-06 12:00:00,856.0,35.6,20
2020-06-06 13:00:00,847.0,37.0,31
2020-06-06 14:00:00,723.0,37.2,44
2020-06-06 15:00:00,557.0,37.1,37
2020-06-06 16:00:00,398.0,37.1,79
2020-06-06 17:00:00,217.0,36.9,82
2020-06-06 18:00:00,75.0,36.3,100
2020-06-06 19:00:00,1.0,34.9,68
2020-06-06 20:00:00,0.0,34.5,74
2020-06-06 21:00:00,0.0,33.8,91
2020-06-06 22:00:00,0.0,32.5,98
2020-06-06 23:00:00,0.0,31.0,99
2020-06-07 00:00:00,0.0,30.2,100
2020-06-07 01:00:00,0.0,29.2,100
2020-06-07 02:00:00,0.0,28.4,92
2020-06-07 03:00:00,0.0,27.7,90
2020-06-07 04:00:00,0.0,27.1,95
2020-06-07 05:00:00,0.0,27.1,94
2020-06-07 06:00:00,19.0,27.2,98
2020-06-07 07:00:00,159.0,28.1,95
2020-06-07 08:00:00,370.0,29.8,97
2020-06-07 09:00:00,572.0,31.7,99
2020-06-07 10:00:00,747.0,33.6,99
2020-06-07 11:00:00,795.0,34.9,98
2020-06-07 12:00:00,877.0,36.0,84
2020-06-07 13:00:00,863.0,36.9,97
2020-06-07 14:00:00,782.0,37.1,97
2020-06-07 15:00:00,653.0,37.3,98
2020-06-07 16:00:00,430.0,37.0,99
2020-06-07 17:00:00,200.0,36.9,99
2020-06-07 18:00:00,62.0,35.5,98
2020-06-07 19:00:00,1.0,33.9,98
2020-06-07 20:00:00,0.0,33.1,97
2020-06-07 21:00:00,0.0,32.1,97
2020-06-07 22:00:00,0.0,31.3,97
2020-06-07 23:00:00,0.0,30.7,92
2020-06-08 00:00:00,0.0,30.4,95
2020-06-08 01:00:00,0.0,29.8,91
2020-06-08 02:00:00,0.0,29.0,88
2020-06-08 03:00:00,0.0,28.4,90
2020-06-08 04:00:00,0.0,27.8,76
2020-06-08 05:00:00,0.0,27.4,95
2020-06-08 06:00:00,15.0,27.6,45
2020-06-08 07:00:00,128.0,28.3,38
2020-06-08 08:00:00,337.0,29.9,43
2020-06-08 09:00:00,549.0,31.9,62
2020-06-08 10:00:00,596.0,33.2,60
2020-06-08 11:00:00,796.0,35.4,34
2020-06-08 12:00:00,865.0,36.6,81
2020-06-08 13:00:00,872.0,37.6,85
2020-06-08 14:00:00,767.0,38.2,92
2020-06-08 15:00:00,605.0,38.1,98
2020-06-08 16:00:00,401.0,37.7,99
2020-06-08 17:00:00,209.0,37.1,98
2020-06-08 18:00:00,56.0,36.6,99
2020-06-08 19:00:00,1.0,36.0,99
2020-06-08 20:00:00,0.0,34.4,97
2020-06-08 21:00:00,0.0,33.8,96
2020-06-08 22:00:00,0.0,33.0,86
2020-06-08 23:00:00,0.0,32.4,99
2020-06-09 00:00:00,0.0,31.5,98
2020-06-09 01:00:00,0.0,30.4,100
2020-06-09 02:00:00,0.0,29.5,95
2020-06-09 03:00:00,0.0,28.8,95
